,instruction,subtasks,task_type
28,pick up the iron after you have secured the coal.,"was_item_collected_after_another(gt, ""coal"", ""iron"")",relatively_action_sequence
29,acquire the iron following the collection of carbon.,"was_item_collected_after_another(gt, ""coal"", ""iron"")",relatively_action_sequence
30,obtain the iron after you have gotten the coal.,"was_item_collected_after_another(gt, ""coal"", ""iron"")",relatively_action_sequence
31,obtain the sword after collecting the armor.,"was_item_collected_after_another(gt, ""armor"", ""sword"")",relatively_action_sequence
32,collect the sword once you have gathered the armor.,"was_item_collected_after_another(gt, ""armor"", ""sword"")",relatively_action_sequence
33,get the sword after you have secured the protective gear.,"was_item_collected_after_another(gt, ""armor"", ""sword"")",relatively_action_sequence
34,retrieve the sword after you have obtained the armor.,"was_item_collected_after_another(gt, ""armor"", ""sword"")",relatively_action_sequence
35,pick up the sword following the collection of body armor.,"was_item_collected_after_another(gt, ""armor"", ""sword"")",relatively_action_sequence
36,acquire the sword after you have collected the defensive equipment.,"was_item_collected_after_another(gt, ""armor"", ""sword"")",relatively_action_sequence
37,secure the potion after gathering the iron.,"was_item_collected_after_another(gt, ""iron"", ""potion"")",relatively_action_sequence
38,collect the potion once you have obtained the iron.,"was_item_collected_after_another(gt, ""iron"", ""potion"")",relatively_action_sequence
39,get the potion after you have gathered the metal.,"was_item_collected_after_another(gt, ""iron"", ""potion"")",relatively_action_sequence
40,retrieve the potion after you have secured the iron.,"was_item_collected_after_another(gt, ""iron"", ""potion"")",relatively_action_sequence
41,pick up the potion following the collection of iron ore.,"was_item_collected_after_another(gt, ""iron"", ""potion"")",relatively_action_sequence
42,acquire the potion after you have gotten the iron.,"was_item_collected_after_another(gt, ""iron"", ""potion"")",relatively_action_sequence
43,retrieve the coal after you have collected the wood.,"was_item_collected_after_another(gt, ""wood"", ""coal"")",relatively_action_sequence
44,get the coal after you have gathered the timber.,"was_item_collected_after_another(gt, ""wood"", ""coal"")",relatively_action_sequence
45,collect the coal once you have obtained the wood.,"was_item_collected_after_another(gt, ""wood"", ""coal"")",relatively_action_sequence
46,pick up the coal after you have secured the wooden logs.,"was_item_collected_after_another(gt, ""wood"", ""coal"")",relatively_action_sequence
47,acquire the coal following the collection of lumber.,"was_item_collected_after_another(gt, ""wood"", ""coal"")",relatively_action_sequence
48,obtain the coal after you have gathered the wooden material.,"was_item_collected_after_another(gt, ""wood"", ""coal"")",relatively_action_sequence
49,place the torch inside a furnace boundary.,"is_item_in_closed_contour(gd, ""torch"", ""furnace"")",building
50,put the lantern within an oven enclosure.,"is_item_in_closed_contour(gd, ""torch"", ""furnace"")",building
51,arrange the torch within the limits of the furnace wall.,"is_item_in_closed_contour(gd, ""torch"", ""furnace"")",building
52,locate the torch within the kiln boundary.,"is_item_in_closed_contour(gd, ""torch"", ""furnace"")",building
53,set the bush inside a counter perimeter.,"is_item_in_closed_contour(gd, ""plant"", ""table"")",building
54,arrange the plant within the limits of the table wall.,"is_item_in_closed_contour(gd, ""plant"", ""table"")",building
55,locate the plant within the desk boundary.,"is_item_in_closed_contour(gd, ""plant"", ""table"")",building
56,set the rock inside a light perimeter.,"is_item_in_closed_contour(gd, ""stone"", ""torch"")",building
57,arrange the stone within the limits of the torch wall.,"is_item_in_closed_contour(gd, ""stone"", ""torch"")",building
58,position the pebble inside the torch outline.,"is_item_in_closed_contour(gd, ""stone"", ""torch"")",building
59,locate the stone within the lantern boundary.,"is_item_in_closed_contour(gd, ""stone"", ""torch"")",building
60,put the kiln within a flower enclosure.,"is_item_in_closed_contour(gd, ""furnace"", ""plant"")",building
61,set the oven inside a shrub perimeter.,"is_item_in_closed_contour(gd, ""furnace"", ""plant"")",building
62,arrange the furnace within the limits of the plant wall.,"is_item_in_closed_contour(gd, ""furnace"", ""plant"")",building
63,position the stove inside the plant outline.,"is_item_in_closed_contour(gd, ""furnace"", ""plant"")",building
64,locate the furnace within the bush boundary.,"is_item_in_closed_contour(gd, ""furnace"", ""plant"")",building
65,"collect the wood after you have collected the stone, then place the torch near the table.","was_item_collected_after_another(gd, ""stone"", ""wood"") and was_item_placed_near_another(gd, ""torch"", ""table"")",relatively_action_sequence
66,"gather the stone first, then collect the wood, and finally position the torch beside the table.","was_item_collected_after_another(gd, ""stone"", ""wood"") and was_item_placed_near_another(gd, ""torch"", ""table"")",relatively_action_sequence
67,"first obtain the stone, then retrieve the wood, and after that, place the torch close to the table.","was_item_collected_after_another(gd, ""stone"", ""wood"") and was_item_placed_near_another(gd, ""torch"", ""table"")",relatively_action_sequence
68,"pick up the stone before gathering the wood, and afterward, set the torch next to the table.","was_item_collected_after_another(gd, ""stone"", ""wood"") and was_item_placed_near_another(gd, ""torch"", ""table"")",relatively_action_sequence
69,"get the stone, then the wood, and lastly place the torch adjacent to the table.","was_item_collected_after_another(gd, ""stone"", ""wood"") and was_item_placed_near_another(gd, ""torch"", ""table"")",relatively_action_sequence
70,"collect the coal after you have gathered the wood, then put the plant near the furnace.","was_item_collected_after_another(gd, ""wood"", ""coal"") and was_item_placed_near_another(gd, ""plant"", ""furnace"")",relatively_action_sequence
71,"first, gather the wood, then collect the coal, and finally place the plant beside the furnace.","was_item_collected_after_another(gd, ""wood"", ""coal"") and was_item_placed_near_another(gd, ""plant"", ""furnace"")",relatively_action_sequence
72,"retrieve the wood before securing the coal, and afterward, position the plant next to the furnace.","was_item_collected_after_another(gd, ""wood"", ""coal"") and was_item_placed_near_another(gd, ""plant"", ""furnace"")",relatively_action_sequence
73,"pick up the wood, then the coal, and lastly, set the plant close to the furnace.","was_item_collected_after_another(gd, ""wood"", ""coal"") and was_item_placed_near_another(gd, ""plant"", ""furnace"")",relatively_action_sequence
74,"collect the wood, followed by the coal, and finish by arranging the plant near the furnace.","was_item_collected_after_another(gd, ""wood"", ""coal"") and was_item_placed_near_another(gd, ""plant"", ""furnace"")",relatively_action_sequence
75,"gather the wood, then the coal, and finally locate the plant adjacent to the furnace.","was_item_collected_after_another(gd, ""wood"", ""coal"") and was_item_placed_near_another(gd, ""plant"", ""furnace"")",relatively_action_sequence
76,"obtain the sword after collecting the iron, then place the stone close to the torch.","was_item_collected_after_another(gd, ""iron"", ""sword"") and was_item_placed_near_another(gd, ""stone"", ""torch"")",relatively_action_sequence
77,"gather the iron first, then collect the sword, and afterward, position the stone near the torch.","was_item_collected_after_another(gd, ""iron"", ""sword"") and was_item_placed_near_another(gd, ""stone"", ""torch"")",relatively_action_sequence
78,"first secure the iron, then retrieve the sword, and finish by placing the stone beside the torch.","was_item_collected_after_another(gd, ""iron"", ""sword"") and was_item_placed_near_another(gd, ""stone"", ""torch"")",relatively_action_sequence
79,"pick up the iron before gathering the sword, and then set the stone close to the torch.","was_item_collected_after_another(gd, ""iron"", ""sword"") and was_item_placed_near_another(gd, ""stone"", ""torch"")",relatively_action_sequence
80,"collect the iron, followed by the sword, and finally arrange the stone near the torch.","was_item_collected_after_another(gd, ""iron"", ""sword"") and was_item_placed_near_another(gd, ""stone"", ""torch"")",relatively_action_sequence
81,"get the iron, then the sword, and lastly locate the stone adjacent to the torch.","was_item_collected_after_another(gd, ""iron"", ""sword"") and was_item_placed_near_another(gd, ""stone"", ""torch"")",relatively_action_sequence
82,"secure the potion after collecting the coal, then place the table beside the plant.","was_item_collected_after_another(gd, ""coal"", ""potion"") and was_item_placed_near_another(gd, ""table"", ""plant"")",relatively_action_sequence
83,"first collect the coal, then gather the potion, and finish by placing the table next to the plant.","was_item_collected_after_another(gd, ""coal"", ""potion"") and was_item_placed_near_another(gd, ""table"", ""plant"")",relatively_action_sequence
84,"pick up the coal, then the potion, and lastly, set the table beside the plant.","was_item_collected_after_another(gd, ""coal"", ""potion"") and was_item_placed_near_another(gd, ""table"", ""plant"")",relatively_action_sequence
85,"collect the coal, followed by the potion, and finish by arranging the table near the plant.","was_item_collected_after_another(gd, ""coal"", ""potion"") and was_item_placed_near_another(gd, ""table"", ""plant"")",relatively_action_sequence
86,"gather the coal, then the potion, and finally locate the table adjacent to the plant.","was_item_collected_after_another(gd, ""coal"", ""potion"") and was_item_placed_near_another(gd, ""table"", ""plant"")",relatively_action_sequence
87,"collect the armor after obtaining the wood, then arrange the furnace near the stone.","was_item_collected_after_another(gd, ""wood"", ""armor"") and was_item_placed_near_another(gd, ""furnace"", ""stone"")",relatively_action_sequence
88,"gather the wood first, then collect the armor, and afterward, position the furnace near the stone.","was_item_collected_after_another(gd, ""wood"", ""armor"") and was_item_placed_near_another(gd, ""furnace"", ""stone"")",relatively_action_sequence
89,"first secure the wood, then retrieve the armor, and finish by placing the furnace beside the stone.","was_item_collected_after_another(gd, ""wood"", ""armor"") and was_item_placed_near_another(gd, ""furnace"", ""stone"")",relatively_action_sequence
90,"pick up the wood before gathering the armor, and then set the furnace close to the stone.","was_item_collected_after_another(gd, ""wood"", ""armor"") and was_item_placed_near_another(gd, ""furnace"", ""stone"")",relatively_action_sequence
91,"collect the wood, followed by the armor, and finally arrange the furnace near the stone.","was_item_collected_after_another(gd, ""wood"", ""armor"") and was_item_placed_near_another(gd, ""furnace"", ""stone"")",relatively_action_sequence
92,"get the wood, then the armor, and lastly locate the furnace adjacent to the stone.","was_item_collected_after_another(gd, ""wood"", ""armor"") and was_item_placed_near_another(gd, ""furnace"", ""stone"")",relatively_action_sequence
93,place the pickaxe inside the table boundary after collecting the wood.,"was_item_collected_after_another(gd, ""wood"", ""pickaxe"") and is_item_in_closed_contour(gd, ""pickaxe"", ""table"")",combo
94,position the pickaxe within the table's enclosure after gathering the wood.,"was_item_collected_after_another(gd, ""wood"", ""pickaxe"") and is_item_in_closed_contour(gd, ""pickaxe"", ""table"")",combo
95,place the pickaxe in the table boundary once you have collected the wood.,"was_item_collected_after_another(gd, ""wood"", ""pickaxe"") and is_item_in_closed_contour(gd, ""pickaxe"", ""table"")",combo
96,set the pickaxe inside the table perimeter after securing the wood.,"was_item_collected_after_another(gd, ""wood"", ""pickaxe"") and is_item_in_closed_contour(gd, ""pickaxe"", ""table"")",combo
97,arrange the pickaxe inside the table outline after obtaining the wood.,"was_item_collected_after_another(gd, ""wood"", ""pickaxe"") and is_item_in_closed_contour(gd, ""pickaxe"", ""table"")",combo
98,put the pickaxe in the table boundary after retrieving the wood.,"was_item_collected_after_another(gd, ""wood"", ""pickaxe"") and is_item_in_closed_contour(gd, ""pickaxe"", ""table"")",combo
99,place the torch inside the furnace boundary after collecting the table.,"was_item_collected_after_another(gd, ""table"", ""torch"") and is_item_in_closed_contour(gd, ""torch"", ""furnace"")",combo
100,put the torch within the furnace's enclosure after collecting the table.,"was_item_collected_after_another(gd, ""table"", ""torch"") and is_item_in_closed_contour(gd, ""torch"", ""furnace"")",combo
101,set the torch inside the furnace boundary once you have secured the table.,"was_item_collected_after_another(gd, ""table"", ""torch"") and is_item_in_closed_contour(gd, ""torch"", ""furnace"")",combo
102,position the torch within the furnace perimeter after picking up the table.,"was_item_collected_after_another(gd, ""table"", ""torch"") and is_item_in_closed_contour(gd, ""torch"", ""furnace"")",combo
103,arrange the torch inside the furnace outline after obtaining the table.,"was_item_collected_after_another(gd, ""table"", ""torch"") and is_item_in_closed_contour(gd, ""torch"", ""furnace"")",combo
104,locate the torch in the furnace boundary after you have collected the table.,"was_item_collected_after_another(gd, ""table"", ""torch"") and is_item_in_closed_contour(gd, ""torch"", ""furnace"")",combo
105,collect the iron after placing the torch inside the stone boundary.,"was_item_collected_after_another(gd, ""torch"", ""stone"") and is_item_in_closed_contour(gd, ""stone"", ""iron"")",combo
106,retrieve the iron after positioning the torch within the stone's boundary.,"was_item_collected_after_another(gd, ""torch"", ""stone"") and is_item_in_closed_contour(gd, ""stone"", ""iron"")",combo
107,get the iron once the torch is placed inside the stone perimeter.,"was_item_collected_after_another(gd, ""torch"", ""stone"") and is_item_in_closed_contour(gd, ""stone"", ""iron"")",combo
108,pick up the iron following the placement of the torch in the stone enclosure.,"was_item_collected_after_another(gd, ""torch"", ""stone"") and is_item_in_closed_contour(gd, ""stone"", ""iron"")",combo
109,acquire the iron after arranging the torch inside the stone boundary.,"was_item_collected_after_another(gd, ""torch"", ""stone"") and is_item_in_closed_contour(gd, ""stone"", ""iron"")",combo
110,collect the iron after setting the torch within the limits of the stone wall.,"was_item_collected_after_another(gd, ""torch"", ""stone"") and is_item_in_closed_contour(gd, ""stone"", ""iron"")",combo
111,place the plant inside the table boundary after gathering the coal.,"was_item_collected_after_another(gd, ""coal"", ""plant"") and is_item_in_closed_contour(gd, ""plant"", ""table"")",combo
112,position the plant within the table's enclosure after collecting the coal.,"was_item_collected_after_another(gd, ""coal"", ""plant"") and is_item_in_closed_contour(gd, ""plant"", ""table"")",combo
113,set the plant in the table perimeter once you've gathered the coal.,"was_item_collected_after_another(gd, ""coal"", ""plant"") and is_item_in_closed_contour(gd, ""plant"", ""table"")",combo
114,arrange the plant within the limits of the table wall following the collection of coal.,"was_item_collected_after_another(gd, ""coal"", ""plant"") and is_item_in_closed_contour(gd, ""plant"", ""table"")",combo
115,place the plant inside the table boundary after retrieving the coal.,"was_item_collected_after_another(gd, ""coal"", ""plant"") and is_item_in_closed_contour(gd, ""plant"", ""table"")",combo
116,collect the potion after placing the stone inside the torch boundary.,"was_item_collected_after_another(gd, ""stone"", ""torch"") and is_item_in_closed_contour(gd, ""torch"", ""potion"")",combo
117,retrieve the potion after positioning the stone within the torch's boundary.,"was_item_collected_after_another(gd, ""stone"", ""torch"") and is_item_in_closed_contour(gd, ""torch"", ""potion"")",combo
118,get the potion once the stone is placed inside the torch perimeter.,"was_item_collected_after_another(gd, ""stone"", ""torch"") and is_item_in_closed_contour(gd, ""torch"", ""potion"")",combo
119,pick up the potion following the placement of the stone in the torch enclosure.,"was_item_collected_after_another(gd, ""stone"", ""torch"") and is_item_in_closed_contour(gd, ""torch"", ""potion"")",combo
120,acquire the potion after arranging the stone inside the torch boundary.,"was_item_collected_after_another(gd, ""stone"", ""torch"") and is_item_in_closed_contour(gd, ""torch"", ""potion"")",combo
121,move around the map and ensure that you have visited all the water sources.,is_player_within_all_water_sources(game_data),cardinal_direction
122,explore the map and check that you've been to every water location.,is_player_within_all_water_sources(game_data),cardinal_direction
123,traverse the game area and confirm that you've reached all water bodies.,is_player_within_all_water_sources(game_data),cardinal_direction
124,roam the entire area and verify that you've come across all water features.,is_player_within_all_water_sources(game_data),cardinal_direction
125,survey the map and ascertain that you've encountered every water source.,is_player_within_all_water_sources(game_data),cardinal_direction
126,head north on the map and check that you've been to all water bodies in that region.,is_player_within_north_water_sources(game_data),cardinal_direction
127,navigate to the upper part of the map and confirm you’ve visited each water source in the north.,is_player_within_north_water_sources(game_data),cardinal_direction
128,move to the top of the map and verify that you've encountered all water features in the north.,is_player_within_north_water_sources(game_data),cardinal_direction
129,proceed to the northern section and make certain you've covered every water source in that area.,is_player_within_north_water_sources(game_data),cardinal_direction
130,go to the southern part of the map and ensure that you've visited all the water sources there.,is_player_within_south_water_sources(game_data),cardinal_direction
131,travel to the lower part of the map and confirm you've visited all water sources in the south.,is_player_within_south_water_sources(game_data),cardinal_direction
132,head to the southern region and make sure you’ve explored each water spot there.,is_player_within_south_water_sources(game_data),cardinal_direction
133,proceed to the southern section of the map and ensure you've encountered all water sources.,is_player_within_south_water_sources(game_data),cardinal_direction
134,move through all the water areas on the map.,is_player_within_all_water_sources(game_data),cardinal_direction
135,walk over every water source on the map.,is_player_within_all_water_sources(game_data),cardinal_direction
136,ensure you have visited each body of water.,is_player_within_all_water_sources(game_data),cardinal_direction
137,make sure to traverse all water bodies across the map.,is_player_within_all_water_sources(game_data),cardinal_direction
138,cross every aquatic zone to confirm your presence there.,is_player_within_all_water_sources(game_data),cardinal_direction
139,verify that you've passed through each wetland region available on the map.,is_player_within_all_water_sources(game_data),cardinal_direction
140,visit all water sources and make sure there's a crafting table nearby.,"is_player_within_all_water_sources(game_data, required_object='crafting_table')",cardinal_direction
141,go to each water source and verify the presence of a crafting station.,"is_player_within_all_water_sources(game_data, required_object='crafting_table')",cardinal_direction
142,visit every aquatic zone and confirm there's a crafting bench adjacent to it.,"is_player_within_all_water_sources(game_data, required_object='crafting_table')",cardinal_direction
143,"explore all water regions, ensuring a crafting apparatus is nearby.","is_player_within_all_water_sources(game_data, required_object='crafting_table')",cardinal_direction
144,traverse each water area and ensure a crafting device is placed near each.,"is_player_within_all_water_sources(game_data, required_object='crafting_table')",cardinal_direction
145,ensure you have walked across all water sources with a furnace nearby.,"is_player_within_all_water_sources(game_data, required_object='furnace')",cardinal_direction
146,"visit all water sources, ensuring a kiln is nearby.","is_player_within_all_water_sources(game_data, required_object='furnace')",cardinal_direction
147,check each water body and make sure there's an oven close by.,"is_player_within_all_water_sources(game_data, required_object='furnace')",cardinal_direction
148,go over every water area and verify that a heater is placed nearby.,"is_player_within_all_water_sources(game_data, required_object='furnace')",cardinal_direction
149,ensure each wetland has been visited and that a forge is located near it.,"is_player_within_all_water_sources(game_data, required_object='furnace')",cardinal_direction
150,"make sure all water sources have been visited, and an enchantment table is nearby.","is_player_within_all_water_sources(game_data, required_object='enchantment_table_fire')",cardinal_direction
151,visit every water source ensuring there's an enchantment altar close by.,"is_player_within_all_water_sources(game_data, required_object='enchantment_table_fire')",cardinal_direction
152,ensure each water body has an enchantment pedestal next to it and is visited.,"is_player_within_all_water_sources(game_data, required_object='enchantment_table_fire')",cardinal_direction
153,check that all water regions are traversed with a magic table present nearby.,"is_player_within_all_water_sources(game_data, required_object='enchantment_table_fire')",cardinal_direction
154,walk across every wetland cluster and make sure a spellbinding desk is near.,"is_player_within_all_water_sources(game_data, required_object='enchantment_table_fire')",cardinal_direction
155,move through all the southern water areas on the map.,is_player_within_south_water_sources(game_data),cardinal_direction
156,walk over every water source in the southern part of the map.,is_player_within_south_water_sources(game_data),cardinal_direction
157,ensure you have visited each body of water in the south.,is_player_within_south_water_sources(game_data),cardinal_direction
158,make sure to traverse all water bodies located in the southern region.,is_player_within_south_water_sources(game_data),cardinal_direction
159,cross every southern aquatic zone to confirm your presence there.,is_player_within_south_water_sources(game_data),cardinal_direction
160,visit all southern water sources and make sure there's a crafting table nearby.,"is_player_within_south_water_sources(game_data, required_object='crafting_table')",cardinal_direction
161,"check all southern water bodies, ensuring a workbench is present close by.","is_player_within_south_water_sources(game_data, required_object='crafting_table')",cardinal_direction
162,go to each southern water source and verify the presence of a crafting station.,"is_player_within_south_water_sources(game_data, required_object='crafting_table')",cardinal_direction
163,visit every southern aquatic zone and confirm there's a crafting bench adjacent to it.,"is_player_within_south_water_sources(game_data, required_object='crafting_table')",cardinal_direction
164,"explore all southern water regions, ensuring a crafting apparatus is nearby.","is_player_within_south_water_sources(game_data, required_object='crafting_table')",cardinal_direction
165,ensure you have walked across all southern water sources with a furnace nearby.,"is_player_within_south_water_sources(game_data, required_object='furnace')",cardinal_direction
166,"visit all southern water sources, ensuring a kiln is nearby.","is_player_within_south_water_sources(game_data, required_object='furnace')",cardinal_direction
167,check each southern water body and make sure there's an oven close by.,"is_player_within_south_water_sources(game_data, required_object='furnace')",cardinal_direction
168,make sure to cross all southern aquatic zones with a smelter adjacent to them.,"is_player_within_south_water_sources(game_data, required_object='furnace')",cardinal_direction
169,ensure each southern wetland has been visited and that a forge is located near it.,"is_player_within_south_water_sources(game_data, required_object='furnace')",cardinal_direction
170,"make sure all southern water sources have been visited, and an enchantment table is nearby.","is_player_within_south_water_sources(game_data, required_object='enchantment_table_fire')",cardinal_direction
171,visit every southern water source ensuring there's an enchantment altar close by.,"is_player_within_south_water_sources(game_data, required_object='enchantment_table_fire')",cardinal_direction
172,ensure each southern water body has an enchantment pedestal next to it and is visited.,"is_player_within_south_water_sources(game_data, required_object='enchantment_table_fire')",cardinal_direction
173,check that all southern water regions are traversed with a magic table present nearby.,"is_player_within_south_water_sources(game_data, required_object='enchantment_table_fire')",cardinal_direction
174,"go through each southern aquatic zone, confirming an arcane station is adjacent.","is_player_within_south_water_sources(game_data, required_object='enchantment_table_fire')",cardinal_direction
175,walk across every southern wetland cluster and make sure a spellbinding desk is near.,"is_player_within_south_water_sources(game_data, required_object='enchantment_table_fire')",cardinal_direction
176,move through all the northern water areas on the map.,is_player_within_north_water_sources(game_data),cardinal_direction
177,walk over every water source in the northern part of the map.,is_player_within_north_water_sources(game_data),cardinal_direction
178,ensure you have visited each body of water in the north.,is_player_within_north_water_sources(game_data),cardinal_direction
179,make sure to traverse all water bodies located in the northern region.,is_player_within_north_water_sources(game_data),cardinal_direction
180,verify that you've passed through each wetland region in the northern area of the map.,is_player_within_north_water_sources(game_data),cardinal_direction
181,visit all northern water sources and make sure there's a crafting table nearby.,"is_player_within_north_water_sources(game_data, required_object='crafting_table')",cardinal_direction
182,"check all northern water bodies, ensuring a workbench is present close by.","is_player_within_north_water_sources(game_data, required_object='crafting_table')",cardinal_direction
183,go to each northern water source and verify the presence of a crafting station.,"is_player_within_north_water_sources(game_data, required_object='crafting_table')",cardinal_direction
184,visit every northern aquatic zone and confirm there's a crafting bench adjacent to it.,"is_player_within_north_water_sources(game_data, required_object='crafting_table')",cardinal_direction
185,"explore all northern water regions, ensuring a crafting apparatus is nearby.","is_player_within_north_water_sources(game_data, required_object='crafting_table')",cardinal_direction
186,traverse each northern water area and ensure a crafting device is placed near each.,"is_player_within_north_water_sources(game_data, required_object='crafting_table')",cardinal_direction
187,ensure you have walked across all northern water sources with a furnace nearby.,"is_player_within_north_water_sources(game_data, required_object='furnace')",cardinal_direction
188,"visit all northern water sources, ensuring a kiln is nearby.","is_player_within_north_water_sources(game_data, required_object='furnace')",cardinal_direction
189,check each northern water body and make sure there's an oven close by.,"is_player_within_north_water_sources(game_data, required_object='furnace')",cardinal_direction
190,go over every northern water area and verify that a heater is placed nearby.,"is_player_within_north_water_sources(game_data, required_object='furnace')",cardinal_direction
191,make sure to cross all northern aquatic zones with a smelter adjacent to them.,"is_player_within_north_water_sources(game_data, required_object='furnace')",cardinal_direction
192,ensure each northern wetland has been visited and that a forge is located near it.,"is_player_within_north_water_sources(game_data, required_object='furnace')",cardinal_direction
193,"make sure all northern water sources have been visited, and an enchantment table is nearby.","is_player_within_north_water_sources(game_data, required_object='enchantment_table_fire')",cardinal_direction
194,visit every northern water source ensuring there's an enchantment altar close by.,"is_player_within_north_water_sources(game_data, required_object='enchantment_table_fire')",cardinal_direction
195,ensure each northern water body has an enchantment pedestal next to it and is visited.,"is_player_within_north_water_sources(game_data, required_object='enchantment_table_fire')",cardinal_direction
196,check that all northern water regions are traversed with a magic table present nearby.,"is_player_within_north_water_sources(game_data, required_object='enchantment_table_fire')",cardinal_direction
197,"go through each northern aquatic zone, confirming an arcane station is adjacent.","is_player_within_north_water_sources(game_data, required_object='enchantment_table_fire')",cardinal_direction
198,walk across every northern wetland cluster and make sure a spellbinding desk is near.,"is_player_within_north_water_sources(game_data, required_object='enchantment_table_fire')",cardinal_direction
199,place the crafting table near the tree.,"is_object_near_target(game_data, 'crafting_table', 'tree')[0]",cardinal_direction
200,put the crafting bench close to the oak.,"is_object_near_target(game_data, 'crafting_table', 'tree')[0]",cardinal_direction
201,position the crafting station adjacent to the woodland tree.,"is_object_near_target(game_data, 'crafting_table', 'tree')[0]",cardinal_direction
202,arrange the crafting equipment within a block of the timber.,"is_object_near_target(game_data, 'crafting_table', 'tree')[0]",cardinal_direction
203,deploy the crafting apparatus next to the sapling.,"is_object_near_target(game_data, 'crafting_table', 'tree')[0]",cardinal_direction
204,place the furnace north of the water.,"is_object_near_target(game_data, 'furnace', 'water')[1]",cardinal_direction
205,put the furnace to the north of the stream.,"is_object_near_target(game_data, 'furnace', 'water')[1]",cardinal_direction
206,position the furnace on the northern side of the water source.,"is_object_near_target(game_data, 'furnace', 'water')[1]",cardinal_direction
207,set up the furnace to the north of the pond.,"is_object_near_target(game_data, 'furnace', 'water')[1]",cardinal_direction
208,arrange the furnace within a block north of the river.,"is_object_near_target(game_data, 'furnace', 'water')[1]",cardinal_direction
209,deploy the furnace to the northern edge of the lake.,"is_object_near_target(game_data, 'furnace', 'water')[1]",cardinal_direction
210,place the stone east of the iron.,"is_object_near_target(game_data, 'stone', 'iron')[3]",cardinal_direction
211,position the stone on the eastern side of the ferrous metal.,"is_object_near_target(game_data, 'stone', 'iron')[3]",cardinal_direction
212,set the stone in proximity to the east of the iron vein.,"is_object_near_target(game_data, 'stone', 'iron')[3]",cardinal_direction
213,arrange the stone within a block east of the iron deposit.,"is_object_near_target(game_data, 'stone', 'iron')[3]",cardinal_direction
214,deploy the stone on the eastern edge of the iron reserve.,"is_object_near_target(game_data, 'stone', 'iron')[3]",cardinal_direction
215,place the fountain west of the diamond.,"is_object_near_target(game_data, 'fountain', 'diamond')[4]",cardinal_direction
